,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
972,o_360050403031,1809.67493,996.365,0,21.03333333,16.91666667,3.216666667
973,o_360050403032,2039.763312,1188.051,0,22.08333333,20.08333333,5.466666667
974,o_360050403033,2102.523312,1250.811,0,23.16666667,21.16666667,4.383333333
975,o_360050403041,2130.901658,1547.907,1,28.86666667,26.35,4.55
976,o_360050403042,1967.364946,1703.7,0,30.85,29.18333333,1.383333333
977,o_360050403043,1833.798679,1799.996,0,30.75,30.63333333,1.666666667
978,o_360050404001,1938.257599,1467.069,0,26.65,24.61666667,8.25
979,o_360050404002,1676.931367,1054.069,0,19.18333333,17.68333333,1.4
980,o_360050404003,1893.670934,1639.855,0,28.85,27.5,3.85
981,o_360050405011,1799.800679,1765.998,0,30.18333333,30.06666667,2.233333333
982,o_360050405012,1974.912946,1711.248,0,30.88333333,29.21666667,1.35
983,o_360050405013,1986.395946,1722.731,0,30.98333333,29.31666667,1.25
984,o_360050405021,1460.198482,1087.188,0,20.55,18.58333333,3.433333333
985,o_360050405022,1511.465482,1138.455,0,21.45,19.48333333,2.533333333
986,o_360050405023,1589.276482,1216.266,0,22.71666667,20.75,1.266666667
987,o_360050405024,1585.751482,1212.741,0,22.68333333,20.71666667,1.3
988,o_360050405025,1734.174946,1470.51,0,26.78333333,25.11666667,5.45
989,o_360050405026,2549.942576,1571.445,0,30.53333333,26.76666667,1.033333333
990,o_360050406001,1567.081367,944.219,0,17.35,15.85,3.233333333
991,o_360050406002,1402.722934,1148.907,0,20.71666667,19.36666667,3.316666667
992,o_360050406003,1181.291055,509.249,1,11.76666667,8.65,5.083333333
993,o_360050407011,1777.255312,925.543,0,17.68333333,15.68333333,1.866666667
994,o_360050407012,2199.663785,468.202,0,16.63333333,7.983333333,1.316666667
995,o_360050407013,1489.397565,1254.496,0,22.51666667,21.31666667,1.733333333
996,o_360050407021,1754.948965,1209.256,0,24.1,20.41666667,1.066666667
997,o_360050407022,1720.769965,1175.077,0,23.51666667,19.83333333,1.65
998,o_360050407023,2052.052419,1023.468,0,24.4,17.33333333,2.116666667
999,o_360050407024,1842.976632,1096.789,0,23.76666667,18.58333333,2.75
1000,o_360050407025,1882.222632,1136.035,0,24.38333333,19.2,2.133333333
1001,o_360050408001,1022.71477,763.606,0,13.93333333,12.96666667,1.916666667
1002,o_360050408002,2266.988377,1769.775,0,30.73333333,29.73333333,1.85
1003,o_360050408003,977.7546493,749.052,0,13.76666667,12.63333333,1.416666667
1004,o_360050408004,1245.165055,573.123,1,12.81666667,9.7,4.033333333
1005,o_360050409001,1478.739654,784.4,0,16.63333333,13.26666667,2.583333333
1006,o_360050409002,1845.257005,1170.399,1,22.6,19.76666667,6.633333333
1007,o_360050411001,993.7657081,839.796,0,15.01666667,14.35,4.033333333
1008,o_360050411002,1856.631213,427.526,0,14.55,7.233333333,3.4
1009,o_360050411003,2108.599419,1080.015,0,25.43333333,18.36666667,1.083333333
1010,o_360050413001,1107.986741,877.742,0,16.18333333,14.86666667,2.283333333
1011,o_360050413002,1724.865929,1306.977,0,25.18333333,22.2,1.333333333
1012,o_360050413003,1151.595741,921.351,0,16.85,15.53333333,1.616666667
1013,o_360050413004,1065.625708,911.656,0,16.26666667,15.6,2.783333333
1014,o_360050413005,1507.33609,1224.543,0,23.18333333,20.78333333,1.983333333
1015,o_360050413006,1326.290565,1091.389,0,19.66666667,18.46666667,5.5
1016,o_360050413007,1629.77017,622.705,1,15.28333333,10.61666667,3.766666667
1017,o_360050414001,1354.678491,544.312,1,13.11666667,9.2,3.733333333
1018,o_360050414002,1775.316439,526.619,0,12.41666667,8.916666667,7.166666667
1019,o_360050414003,2033.989439,785.292,0,16.76666667,13.26666667,2.816666667
1020,o_360050414004,1864.84527,1671.925,0,29.13333333,28.1,4.4
1021,o_360050415001,1486.68109,1203.888,0,22.73333333,20.33333333,2.45
1022,o_360050415002,1328.149694,1127.655,0,20.33333333,18.98333333,7.25
1023,o_360050415003,1299.498694,1099.004,0,19.83333333,18.48333333,7.75
1024,o_360050415004,1101.368694,900.874,0,16.51666667,15.16666667,11.06666667
1025,o_360050415005,1639.273947,1221.385,0,23.65,20.58333333,1.533333333
1026,o_360050415006,1543.48309,1260.69,0,23.66666667,21.26666667,1.516666667
1027,o_360050418001,1065.73677,806.628,0,14.58333333,13.61666667,1.283333333
1028,o_360050418002,956.8117695,697.703,0,12.71666667,11.75,3.15
1029,o_360050418003,968.4004861,703.212,0,13.25,11.83333333,1.316666667
1030,o_360050418004,639.5027695,380.394,0,7.4,6.433333333,3.083333333
1031,o_360050419001,686.7560945,400.92,0,8.083333333,6.783333333,2.866666667
1032,o_360050419002,971.191677,689.398,0,14.01666667,11.61666667,1.166666667
1033,o_360050419003,854.5640901,571.771,0,12.03333333,9.633333333,1.15
1034,o_360050419004,1114.494708,960.525,0,17.06666667,16.4,2
1035,o_360050419005,827.6460901,544.853,0,11.58333333,9.183333333,1.6
1036,o_360050419006,1155.592708,1001.623,0,17.78333333,17.11666667,1.283333333
1037,o_360050419007,787.1987407,556.954,0,10.41666667,9.383333333,3.5
1038,o_360050420001,674.2347695,415.126,0,8,7.033333333,2.483333333
1039,o_360050420002,1792.503367,1169.641,0,21.13333333,19.63333333,2.083333333
1040,o_360050420003,1101.173285,688.24,0,13.78333333,11.63333333,2.633333333
1041,o_360050421001,834.1740898,535.168,0,11.38333333,8.983333333,1.766666667
1042,o_360050421002,1111.193708,957.224,0,16.96666667,16.3,2.1
1043,o_360050421003,938.3613051,532.739,0,11.05,8.983333333,6.916666667
1044,o_360050421004,1177.110708,1023.141,0,18.05,17.38333333,1.016666667
1045,o_360050421005,1163.500708,1009.531,0,17.83333333,17.16666667,1.233333333
1046,o_360050422001,1069.237217,696.364,0,13.46666667,11.7,5.7
1047,o_360050422002,1122.369217,749.496,0,14.36666667,12.6,4.8
1048,o_360050423001,649.689657,316.824,0,8,5.366666667,3.033333333
1049,o_360050423002,744.8080945,458.972,0,9.066666667,7.766666667,1.883333333
1050,o_360050423003,795.6650901,512.872,0,11.01666667,8.616666667,2.166666667
1051,o_360050424001,1479.345339,685.862,0,15.28333333,11.53333333,3.883333333
1052,o_360050424002,1204.610217,831.737,0,15.8,14.03333333,3.366666667
1053,o_360050425001,1981.214621,1094.034,0,21.83333333,18.71666667,2.983333333
1054,o_360050425002,2037.517621,1150.337,0,22.75,19.63333333,2.066666667
1055,o_360050425003,1477.173694,1276.679,0,22.95,21.6,4.633333333
1056,o_360050425004,1977.557621,1090.377,0,21.76666667,18.65,3.05
1057,o_360050425005,1883.554621,996.374,0,20.15,17.03333333,4.666666667
1058,o_360050425006,857.0660901,574.273,0,12.08333333,9.683333333,1.1
1059,o_360050425007,922.7559468,504.867,0,11.56666667,8.5,1.616666667
1060,o_360050426001,2676.403279,2284.611,0,40.03333333,38.43333333,1.933333333
1061,o_360050426002,1447.174339,653.691,0,14.8,11.05,4.366666667
1062,o_360050426003,2358.528339,1565.045,0,30.15,26.4,1.016666667
1063,o_360050426004,2298.274339,1504.791,0,29.15,25.4,2.016666667
1064,o_360050426005,2325.027217,2153.614,0,36.9,36.36666667,4.466666667
1065,o_360050426006,2509.635217,2338.222,0,39.98333333,39.45,1.383333333
1066,o_360050428001,2189.956279,1798.164,0,31.93333333,30.33333333,10.03333333
1067,o_360050428002,2395.277279,2003.485,0,35.4,33.8,6.566666667
1068,o_360050429011,1554.078365,1329.408,0,23.58333333,22.43333333,2.266666667
1069,o_360050429012,1483.438365,1258.768,0,22.4,21.25,3.45
1070,o_360050429013,1570.419365,1345.749,0,23.9,22.75,1.95
1071,o_360050429021,1559.503895,1243.422,0,23.88333333,21.2,2.45
1072,o_360050429022,833.4330166,500.567,0,11.13333333,8.5,1.516666667
1073,o_360050429023,1022.184095,736.348,0,14,12.38333333,1.833333333
1074,o_360050430001,1279.914217,907.041,0,17,15.23333333,2.166666667
1075,o_360050430002,1231.230217,858.357,0,16.2,14.43333333,2.966666667
1076,o_360050430003,1934.3073,1451.089,0,26.9,24.48333333,1.283333333
1077,o_360050431011,1607.614133,746.38,0,14.63333333,12.63333333,5.933333333
1078,o_360050431012,934.2523051,528.63,0,11.01666667,8.95,6.95
1079,o_360050431013,830.8883051,425.266,0,9.266666667,7.2,5.316666667
1080,o_360050431014,658.1201453,267.169,0,6.616666667,4.516666667,3.45
1081,o_360050431021,653.075657,320.21,0,8.05,5.416666667,2.983333333
1082,o_360050431022,690.030657,357.165,0,8.733333333,6.1,2.3
1083,o_360050431023,930.5259585,275.204,0,9.883333333,4.683333333,1.15
1084,o_360050434001,1530.612928,897.278,0,16.58333333,15.08333333,3.016666667
1085,o_360050434002,1299.636928,666.302,0,12.73333333,11.23333333,6.866666667
1086,o_360050434003,887.7857695,628.677,0,11.56666667,10.6,4.3
1087,o_360050434004,952.7434861,687.555,0,12.96666667,11.55,1.6
1088,o_360050435011,1771.571367,1148.709,0,20.85,19.35,7.75
1089,o_360050435021,3423.451413,739.825,1,21.33333333,12.4,6.866666667
1090,o_360050435031,3484.178761,2560.682,0,47.18333333,43.08333333,3.316666667
1091,o_360050436001,1599.945928,966.611,0,17.78333333,16.28333333,1.816666667
1092,o_360050436002,1489.778928,856.444,0,15.93333333,14.43333333,3.666666667
1093,o_360050442001,2100.459439,851.762,0,17.85,14.35,1.75
1094,o_360050442002,1986.948439,738.251,0,16,12.5,3.6
1095,o_360050442003,2290.294439,1041.597,0,21.1,17.6,6.5
1096,o_360050442004,2366.184439,1117.487,0,22.35,18.85,5.25
1097,o_360050442005,1938.016439,689.319,0,15.18333333,11.68333333,4.416666667
1098,o_360050444001,1901.64927,1708.729,0,29.81666667,28.78333333,3.716666667
1099,o_360050444002,2568.730279,2176.938,0,38.23333333,36.63333333,3.733333333
1100,o_360050444003,2579.808279,2188.016,0,38.41666667,36.81666667,3.55
1101,o_360050444004,2817.952944,2179.414,0,39.31666667,36.66666667,2.65
1102,o_360050448001,2003.470217,1630.597,0,29.21666667,27.45,1.95
