GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km
360050131001,360050131001,Block Group 1; Census Tract 131; Bronx County; New York,Bronx,1438,877,877,1,427,304,0.7119437939,328,0.2280945758,184,0.1279554937,15,0.01043115438,582,0.40472879,0,0,768,0.5340751043,181,0.2063854048,36005013100,5277,2083,0.3947318552,5288,1725,0.3262102874,5288,188,0.03555219365,64958,0.064958,22137.38108
360050132001,360050132001,Block Group 1; Census Tract 132; Bronx County; New York,Bronx,1210,399,269,0.6741854637,609,173,0.2840722496,445,0.367768595,137,0.1132231405,19,0.01570247934,594,0.4909090909,99,0.08181818182,498,0.4115702479,43,0.1077694236,36005013200,7083,397,0.05604969646,7083,1809,0.2554002541,7083,276,0.0389665396,74394,0.074394,16264.75253
360050133001,360050133001,Block Group 1; Census Tract 133; Bronx County; New York,Bronx,2625,1077,1077,1,726,394,0.5426997245,622,0.236952381,343,0.1306666667,0,0,506,0.1927619048,0,0,1990,0.7580952381,151,0.1402042711,36005013300,6087,2857,0.4693609331,6087,1733,0.2847051092,6087,101,0.01659273862,52079,0.052079,50404.19363
360050135001,360050135001,Block Group 1; Census Tract 135; Bronx County; New York,Bronx,515,112,105,0.9375,60,13,0.2166666667,282,0.5475728155,0,0,0,0,0,0,0,0,515,1,83,0.7410714286,36005013500,4075,1977,0.4851533742,4075,925,0.226993865,4075,91,0.02233128834,51627,0.051627,9975.400469
360050138001,360050138001,Block Group 1; Census Tract 138; Bronx County; New York,Bronx,1843,732,224,0.306010929,756,96,0.126984127,467,0.25339121,392,0.2126966902,1223,0.6635919696,0,0,69,0.03743895822,526,0.2854042322,8,0.01092896175,36005013800,3062,568,0.1854996734,3062,615,0.2008491182,3062,75,0.02449379491,609051,0.609051,3026.019168
360050141001,360050141001,Block Group 1; Census Tract 141; Bronx County; New York,Bronx,2887,1050,1038,0.9885714286,1064,789,0.7415413534,992,0.343609283,87,0.03013508833,125,0.0432975407,1347,0.4665742986,0,0,1415,0.4901281607,93,0.08857142857,36005014100,7856,2133,0.27151222,7744,1466,0.1893078512,7744,475,0.06133780992,55933,0.055933,51615.32548
360050143001,360050143001,Block Group 1; Census Tract 143; Bronx County; New York,Bronx,1647,743,743,1,485,181,0.3731958763,377,0.2289010322,197,0.1196114147,34,0.02064359441,516,0.3132969035,116,0.07043108682,917,0.5567698846,144,0.1938088829,36005014300,1617,800,0.4947433519,1647,487,0.2956891318,1647,54,0.03278688525,129711,0.129711,12697.4582
360050144001,360050144001,Block Group 1; Census Tract 144; Bronx County; New York,Bronx,477,419,419,1,15,0,0,47,0.09853249476,430,0.9014675052,40,0.08385744235,48,0.1006289308,0,0,372,0.7798742138,130,0.3102625298,36005014400,6091,1724,0.2830405516,6128,1451,0.2367819843,6128,648,0.1057441253,28497,0.028497,16738.60406
360050145001,360050145001,Block Group 1; Census Tract 145; Bronx County; New York,Bronx,1825,846,846,1,492,184,0.3739837398,336,0.184109589,500,0.2739726027,29,0.01589041096,1137,0.6230136986,0,0,644,0.3528767123,69,0.08156028369,36005014500,6678,3537,0.5296495957,6679,1278,0.1913460099,6679,681,0.1019613715,47267,0.047267,38610.44703
360050147011,360050147011,Block Group 1; Census Tract 147.01; Bronx County; New York,Bronx,2778,988,988,1,903,590,0.6533776301,973,0.3502519798,152,0.05471562275,0,0,1451,0.5223182145,0,0,363,0.1306695464,39,0.03947368421,36005014701,6085,3678,0.6044371405,6094,1472,0.2415490647,6094,707,0.1160157532,41236,0.041236,67368.31894
360050147021,360050147021,Block Group 1; Census Tract 147.02; Bronx County; New York,Bronx,1095,497,497,1,278,278,1,254,0.2319634703,327,0.298630137,0,0,230,0.2100456621,0,0,839,0.7662100457,67,0.1348088531,36005014702,4950,1795,0.3626262626,4950,667,0.1347474747,4950,159,0.03212121212,19172,0.019172,57114.54204
360050149001,360050149001,Block Group 1; Census Tract 149; Bronx County; New York,Bronx,1838,561,561,1,331,315,0.9516616314,1005,0.5467899891,168,0.09140369967,24,0.01305767138,754,0.4102285092,0,0,1060,0.5767138194,103,0.183600713,36005014900,4631,2036,0.4396458648,4631,802,0.1731807385,4631,386,0.08335132801,70408,0.070408,26104.98807
360050151001,360050151001,Block Group 1; Census Tract 151; Bronx County; New York,Bronx,757,197,197,1,247,69,0.2793522267,247,0.3262879789,43,0.05680317041,24,0.03170409511,556,0.7344782034,0,0,177,0.2338177015,37,0.1878172589,36005015100,5051,1603,0.3173628984,5199,1580,0.303904597,5199,576,0.1107905366,33848,0.033848,22364.6892
360050152001,360050152001,Block Group 1; Census Tract 152; Bronx County; New York,Bronx,1030,336,136,0.4047619048,389,65,0.1670951157,266,0.2582524272,152,0.1475728155,408,0.3961165049,106,0.1029126214,0,0,392,0.3805825243,61,0.181547619,36005015200,2474,286,0.1156022635,2562,299,0.1167056987,2562,47,0.01834504294,119828,0.119828,8595.65377
360050153001,360050153001,Block Group 1; Census Tract 153; Bronx County; New York,Bronx,2032,1080,986,0.912962963,577,233,0.403812825,580,0.2854330709,250,0.1230314961,0,0,822,0.4045275591,0,0,1162,0.5718503937,123,0.1138888889,36005015300,3596,896,0.2491657397,3603,872,0.2420205384,3603,169,0.04690535665,150117,0.150117,13536.1085
360050155001,360050155001,Block Group 1; Census Tract 155; Bronx County; New York,Bronx,2388,828,811,0.979468599,963,667,0.6926272066,624,0.2613065327,309,0.1293969849,3,0.001256281407,619,0.2592127303,0,0,1766,0.7395309883,172,0.2077294686,36005015500,3016,839,0.2781830239,3016,857,0.2841511936,3016,254,0.08421750663,31627,0.031627,75505.1064
360050158001,360050158001,Block Group 1; Census Tract 158; Bronx County; New York,Bronx,1490,534,281,0.5262172285,667,199,0.2983508246,220,0.1476510067,375,0.2516778523,434,0.2912751678,111,0.0744966443,94,0.06308724832,851,0.5711409396,59,0.1104868914,36005015800,1490,285,0.1912751678,1490,313,0.2100671141,1490,3,0.002013422819,162176,0.162176,9187.549329
360050159001,360050159001,Block Group 1; Census Tract 159; Bronx County; New York,Bronx,1415,626,600,0.9584664537,627,114,0.1818181818,325,0.2296819788,261,0.1844522968,7,0.004946996466,111,0.07844522968,0,0,1297,0.9166077739,194,0.3099041534,36005015900,2405,890,0.3700623701,2405,751,0.3122661123,2405,214,0.08898128898,63632,0.063632,22237.23912
360050160001,360050160001,Block Group 1; Census Tract 160; Bronx County; New York,Bronx,1407,707,352,0.4978783593,688,166,0.2412790698,87,0.0618336887,473,0.3361762615,671,0.4769012082,15,0.01066098081,61,0.04335465529,660,0.4690831557,36,0.05091937765,36005016000,3832,576,0.1503131524,3848,543,0.1411122661,3848,158,0.04106029106,182805,0.182805,7696.72602
360050161001,360050161001,Block Group 1; Census Tract 161; Bronx County; New York,Bronx,1440,670,670,1,218,79,0.3623853211,508,0.3527777778,235,0.1631944444,23,0.01597222222,837,0.58125,0,0,557,0.3868055556,142,0.2119402985,36005016100,4703,1763,0.3748671061,4703,1425,0.3029980863,4703,107,0.02275143525,137874,0.137874,10444.31873
360050162001,360050162001,Block Group 1; Census Tract 162; Bronx County; New York,Bronx,943,232,125,0.5387931034,303,79,0.2607260726,256,0.2714740191,226,0.2396606575,303,0.3213149523,76,0.08059384942,13,0.01378579003,542,0.5747613998,31,0.1336206897,36005016200,1697,97,0.05715969358,1697,158,0.09310548026,1697,33,0.01944608132,86315,0.086315,10925.09992
360050164001,360050164001,Block Group 1; Census Tract 164; Bronx County; New York,Bronx,1132,392,217,0.5535714286,459,153,0.3333333333,281,0.2482332155,212,0.1872791519,195,0.1722614841,181,0.1598939929,440,0.3886925795,304,0.2685512367,31,0.07908163265,36005016400,1132,243,0.214664311,1132,156,0.1378091873,1132,30,0.02650176678,164578,0.164578,6878.197572
360050165001,360050165001,Block Group 1; Census Tract 165; Bronx County; New York,Bronx,1311,376,376,1,595,210,0.3529411765,359,0.2738367658,62,0.0472921434,4,0.003051106026,506,0.3859649123,0,0,751,0.5728451564,0,0,36005016500,1311,285,0.2173913043,1311,158,0.120518688,1311,124,0.0945842868,196842,0.196842,6660.163989
360050166001,360050166001,Block Group 1; Census Tract 166; Bronx County; New York,Bronx,1603,523,325,0.621414914,591,226,0.3824027073,521,0.3250155958,140,0.08733624454,388,0.2420461634,123,0.07673112913,29,0.01809107923,1061,0.6618839676,32,0.06118546845,36005016600,2376,319,0.1342592593,2395,367,0.1532359081,2395,80,0.03340292276,153839,0.153839,10419.98453
360050167001,360050167001,Block Group 1; Census Tract 167; Bronx County; New York,Bronx,1029,424,404,0.9528301887,294,150,0.5102040816,350,0.3401360544,107,0.1039844509,31,0.03012633625,430,0.4178814383,0,0,549,0.5335276968,91,0.2146226415,36005016700,2961,1095,0.3698074975,3015,621,0.2059701493,3015,260,0.08623548922,32864,0.032864,31310.85686
360050169001,360050169001,Block Group 1; Census Tract 169; Bronx County; New York,Bronx,1944,607,562,0.9258649094,732,377,0.5150273224,542,0.2788065844,231,0.1188271605,18,0.009259259259,1133,0.58281893,0,0,628,0.3230452675,75,0.1235584843,36005016900,1904,990,0.5199579832,1944,439,0.2258230453,1944,63,0.03240740741,92914,0.092914,20922.57356
360050016001,360050016001,Block Group 1; Census Tract 16; Bronx County; New York,Bronx,2174,819,819,1,1096,414,0.3777372263,388,0.1784728611,362,0.1665133395,0,0,952,0.4379024839,0,0,1059,0.4871205152,52,0.06349206349,36005001600,5329,808,0.1516231938,5412,1105,0.2041759054,5412,152,0.0280857354,77719,0.077719,27972.56784
360050173001,360050173001,Block Group 1; Census Tract 173; Bronx County; New York,Bronx,684,293,293,1,331,212,0.6404833837,123,0.1798245614,79,0.115497076,0,0,0,0,22,0.03216374269,662,0.9678362573,99,0.337883959,36005017300,5265,1590,0.301994302,5265,1784,0.3388414055,5265,408,0.07749287749,48882,0.048882,13992.88082
360050175001,360050175001,Block Group 1; Census Tract 175; Bronx County; New York,Bronx,1491,680,680,1,426,217,0.5093896714,556,0.3729040912,108,0.07243460765,0,0,1031,0.6914822267,0,0,460,0.3085177733,223,0.3279411765,36005017500,6228,2433,0.390655106,6228,1498,0.2405266538,6228,432,0.06936416185,24334,0.024334,61272.29391
360050177011,360050177011,Block Group 1; Census Tract 177.01; Bronx County; New York,Bronx,872,306,272,0.8888888889,376,138,0.3670212766,230,0.2637614679,31,0.03555045872,17,0.01949541284,257,0.2947247706,62,0.07110091743,536,0.6146788991,0,0,36005017701,5025,1261,0.2509452736,4984,774,0.1552969502,4984,606,0.1215890851,46090,0.04609,18919.50532
360050177021,360050177021,Block Group 1; Census Tract 177.02; Bronx County; New York,Bronx,975,209,101,0.4832535885,336,114,0.3392857143,432,0.4430769231,103,0.1056410256,0,0,373,0.3825641026,161,0.1651282051,268,0.2748717949,70,0.3349282297,36005017702,5232,1818,0.3474770642,5232,944,0.1804281346,5232,359,0.06861620795,22820,0.02282,42725.67923
360050179011,360050179011,Block Group 1; Census Tract 179.01; Bronx County; New York,Bronx,2887,1037,954,0.9199614272,1129,806,0.7139061116,669,0.2317284378,218,0.07551091098,0,0,585,0.2026324905,47,0.0162798753,2205,0.7637686179,319,0.3076181292,36005017901,4968,1002,0.2016908213,4968,731,0.1471417069,4968,473,0.09520933977,41995,0.041995,68746.27932
360050179021,360050179021,Block Group 1; Census Tract 179.02; Bronx County; New York,Bronx,1102,406,406,1,629,443,0.7042925278,247,0.224137931,140,0.1270417423,7,0.006352087114,731,0.6633393829,0,0,364,0.3303085299,64,0.157635468,36005017902,3030,483,0.1594059406,3030,610,0.201320132,3030,303,0.1,46625,0.046625,23635.38874
360050181011,360050181011,Block Group 1; Census Tract 181.01; Bronx County; New York,Bronx,1407,535,494,0.923364486,575,278,0.4834782609,410,0.2914001421,196,0.1393034826,0,0,396,0.2814498934,2,0.001421464108,1009,0.7171286425,131,0.2448598131,36005018101,2876,665,0.2312239221,2876,589,0.204798331,2876,497,0.1728094576,46691,0.046691,30134.28712
360050181021,360050181021,Block Group 1; Census Tract 181.02; Bronx County; New York,Bronx,913,576,576,1,318,194,0.6100628931,16,0.01752464403,487,0.5334063527,90,0.09857612267,278,0.30449069,0,0,545,0.5969331873,386,0.6701388889,36005018102,5066,1583,0.3124753257,5107,1084,0.2122576855,5107,308,0.06030937928,31207,0.031207,29256.25661
360050183011,360050183011,Block Group 1; Census Tract 183.01; Bronx County; New York,Bronx,1511,893,893,1,480,201,0.41875,114,0.07544672402,576,0.3812045003,174,0.1151555261,331,0.219060225,98,0.06485771013,829,0.5486432826,341,0.3818589026,36005018301,3933,1116,0.2837528604,3933,964,0.2451055174,3933,207,0.05263157895,29027,0.029027,52054.98329
360050183021,360050183021,Block Group 1; Census Tract 183.02; Bronx County; New York,Bronx,1478,651,651,1,694,239,0.3443804035,473,0.3200270636,126,0.08525033829,0,0,931,0.6299052774,0,0,525,0.3552097429,0,0,36005018302,3295,787,0.2388467375,3295,490,0.1487101669,3295,202,0.06130500759,29514,0.029514,50077.92912
360050184001,360050184001,Block Group 1; Census Tract 184; Bronx County; New York,Bronx,806,275,162,0.5890909091,402,150,0.3731343284,168,0.2084367246,217,0.2692307692,383,0.4751861042,0,0,63,0.07816377171,243,0.3014888337,31,0.1127272727,36005018400,3886,505,0.1299536799,3886,362,0.09315491508,3886,148,0.03808543489,80967,0.080967,9954.672891
360050185011,360050185011,Block Group 1; Census Tract 185.01; Bronx County; New York,Bronx,3775,1466,1451,0.9897680764,1474,866,0.5875169607,1245,0.3298013245,385,0.101986755,91,0.02410596026,1659,0.4394701987,0,0,1902,0.5038410596,93,0.06343792633,36005018501,3761,1162,0.3089603829,3775,592,0.1568211921,3775,381,0.1009271523,184081,0.184081,20507.27669
360050185021,360050185021,Block Group 1; Census Tract 185.02; Bronx County; New York,Bronx,941,438,402,0.9178082192,287,151,0.5261324042,108,0.1147715197,106,0.1126461211,15,0.01594048884,173,0.1838469713,0,0,712,0.7566418704,15,0.03424657534,36005018502,5479,2784,0.5081219201,5520,1178,0.2134057971,5520,361,0.06539855072,39913,0.039913,23576.27841
360050189001,360050189001,Block Group 1; Census Tract 189; Bronx County; New York,Bronx,1567,496,496,1,722,499,0.6911357341,467,0.2980216975,32,0.02042118698,139,0.08870453095,246,0.1569878749,0,0,1136,0.7249521378,160,0.3225806452,36005018900,8034,2079,0.2587752054,8163,1420,0.1739556536,8163,337,0.04128384172,210090,0.21009,7458.708173
360050019011,360050019011,Block Group 1; Census Tract 19.01; Bronx County; New York,Bronx,2260,1149,1149,1,1234,582,0.471636953,483,0.2137168142,73,0.03230088496,181,0.08008849558,945,0.4181415929,69,0.03053097345,975,0.4314159292,70,0.06092254134,36005001901,2258,507,0.2245349867,2259,401,0.1775121735,2259,255,0.1128818061,205007,0.205007,11024.01381
360050019021,360050019021,Block Group 1; Census Tract 19.02; Bronx County; New York,Bronx,2079,624,592,0.9487179487,958,427,0.4457202505,238,0.1144781145,66,0.03174603175,61,0.02934102934,367,0.1765271765,0,0,1059,0.5093795094,93,0.1490384615,36005001902,2040,807,0.3955882353,2069,253,0.1222812953,2069,306,0.147897535,469741,0.469741,4425.843177
360050193001,360050193001,Block Group 1; Census Tract 193; Bronx County; New York,Bronx,1985,964,964,1,1127,882,0.7826086957,395,0.1989924433,171,0.08614609572,97,0.04886649874,1468,0.7395465995,0,0,345,0.1738035264,133,0.137966805,36005019300,5735,859,0.1497820401,5949,1150,0.1933098,5949,84,0.01412002017,33157,0.033157,59866.69482
360050194001,360050194001,Block Group 1; Census Tract 194; Bronx County; New York,Bronx,2117,696,416,0.5977011494,1054,466,0.4421252372,536,0.2531884743,313,0.1478507322,308,0.1454888994,278,0.1313179027,128,0.06046291923,1318,0.6225791214,51,0.07327586207,36005019400,2117,166,0.07841284837,2117,322,0.1521020312,2117,38,0.01794992915,840142,0.840142,2519.812127
360050195001,360050195001,Block Group 1; Census Tract 195; Bronx County; New York,Bronx,3285,1069,1069,1,954,655,0.6865828092,1257,0.3826484018,340,0.103500761,0,0,2279,0.6937595129,0,0,978,0.297716895,144,0.1347053321,36005019500,6997,2781,0.3974560526,7738,1416,0.1829930215,7738,194,0.0250710778,50913,0.050913,64521.83136
360050197001,360050197001,Block Group 1; Census Tract 197; Bronx County; New York,Bronx,2920,1073,1073,1,1145,847,0.7397379913,1040,0.3561643836,165,0.05650684932,175,0.05993150685,442,0.151369863,77,0.02636986301,2226,0.7623287671,15,0.01397949674,36005019700,7542,4287,0.5684168656,7628,1332,0.1746198217,7628,591,0.07747771369,29094,0.029094,100364.3363
360050199001,360050199001,Block Group 1; Census Tract 199; Bronx County; New York,Bronx,377,263,263,1,75,75,1,66,0.175066313,90,0.2387267905,0,0,124,0.3289124668,0,0,253,0.6710875332,118,0.4486692015,36005019900,6781,2421,0.3570269872,6852,1175,0.1714827788,6852,388,0.05662580269,23240,0.02324,16222.03098
360050020011,360050020011,Block Group 1; Census Tract 20.01; Bronx County; New York,Bronx,2610,1027,1027,1,786,525,0.6679389313,669,0.2563218391,303,0.116091954,0,0,999,0.3827586207,0,0,1471,0.5636015326,110,0.1071080818,36005002001,4113,2155,0.5239484561,4199,1211,0.2884020005,4199,225,0.05358418671,117921,0.117921,22133.46223
360050020021,360050020021,Block Group 1; Census Tract 20.02; Bronx County; New York,Bronx,599,256,144,0.5625,208,102,0.4903846154,184,0.3071786311,207,0.3455759599,0,0,73,0.121869783,0,0,526,0.878130217,88,0.34375,36005002002,3551,1526,0.4297381019,3609,1171,0.3244666112,3609,322,0.08922139097,75955,0.075955,7886.248437
360050200001,360050200001,Block Group 1; Census Tract 200; Bronx County; New York,Bronx,1173,375,262,0.6986666667,498,272,0.546184739,276,0.2352941176,175,0.1491901108,71,0.06052855925,54,0.04603580563,215,0.1832907076,714,0.6086956522,57,0.152,36005020000,4398,1156,0.2628467485,4398,448,0.1018644839,4398,359,0.08162801273,57532,0.057532,20388.65327
360050201001,360050201001,Block Group 1; Census Tract 201; Bronx County; New York,Bronx,1180,370,370,1,271,133,0.4907749077,266,0.2254237288,43,0.03644067797,25,0.02118644068,183,0.1550847458,18,0.01525423729,951,0.8059322034,188,0.5081081081,36005020100,3845,1713,0.4455136541,3845,585,0.1521456437,3845,175,0.0455136541,210824,0.210824,5597.085721
360050202001,360050202001,Block Group 1; Census Tract 202; Bronx County; New York,Bronx,1355,474,429,0.9050632911,723,435,0.601659751,361,0.2664206642,119,0.08782287823,77,0.05682656827,119,0.08782287823,77,0.05682656827,1073,0.7918819188,91,0.1919831224,36005020200,2593,668,0.2576166602,2602,324,0.1245196003,2602,223,0.08570330515,56607,0.056607,23936.96893
360050204001,360050204001,Block Group 1; Census Tract 204; Bronx County; New York,Bronx,923,338,317,0.9378698225,306,173,0.5653594771,264,0.2860238353,93,0.1007583965,41,0.04442036836,120,0.1300108342,89,0.09642470206,530,0.5742145179,72,0.2130177515,36005020400,2823,747,0.2646121148,2807,362,0.128963306,2807,208,0.07410046313,30989,0.030989,29784.76234
360050205021,360050205021,Block Group 1; Census Tract 205.02; Bronx County; New York,Bronx,1240,553,516,0.9330922242,408,246,0.6029411765,223,0.1798387097,296,0.2387096774,15,0.01209677419,118,0.09516129032,23,0.0185483871,1050,0.8467741935,159,0.287522604,36005020502,2316,554,0.2392055268,2321,640,0.2757432141,2321,206,0.08875484705,36878,0.036878,33624.3831
360050206011,360050206011,Block Group 1; Census Tract 206.01; Bronx County; New York,Bronx,1179,476,403,0.8466386555,503,323,0.6421471173,160,0.1357082273,333,0.2824427481,65,0.05513146735,128,0.1085665818,344,0.2917726887,597,0.5063613232,125,0.262605042,36005020601,2840,553,0.1947183099,2849,400,0.1404001404,2849,108,0.03790803791,66850,0.06685,17636.49963
360050209001,360050209001,Block Group 1; Census Tract 209; Bronx County; New York,Bronx,490,245,245,1,178,118,0.6629213483,55,0.112244898,52,0.106122449,24,0.04897959184,169,0.3448979592,0,0,284,0.5795918367,15,0.0612244898,36005020900,4796,1281,0.2670975813,4809,447,0.0929507174,4809,248,0.05156997297,55352,0.055352,8852.435323
360050210011,360050210011,Block Group 1; Census Tract 210.01; Bronx County; New York,Bronx,534,214,198,0.9252336449,118,66,0.5593220339,208,0.3895131086,85,0.15917603,33,0.06179775281,68,0.127340824,70,0.1310861423,363,0.6797752809,118,0.5514018692,36005021001,7346,1393,0.1896270079,7347,1249,0.1700013611,7347,587,0.07989655642,36577,0.036577,14599.33838
360050210021,360050210021,Block Group 1; Census Tract 210.02; Bronx County; New York,Bronx,2234,771,709,0.9195849546,829,478,0.5765983112,849,0.3800358102,151,0.06759176365,18,0.008057296329,902,0.4037600716,295,0.1320501343,1010,0.4521038496,9,0.01167315175,36005021002,7410,1739,0.234682861,7434,837,0.112590799,7434,400,0.05380683347,29149,0.029149,76640.70809
360050211001,360050211001,Block Group 1; Census Tract 211; Bronx County; New York,Bronx,1680,534,419,0.7846441948,575,235,0.4086956522,506,0.3011904762,207,0.1232142857,178,0.105952381,530,0.3154761905,0,0,957,0.5696428571,95,0.1779026217,36005021100,5812,1758,0.3024776325,5920,852,0.1439189189,5920,263,0.04442567568,39958,0.039958,42044.14635
360050212001,360050212001,Block Group 1; Census Tract 212; Bronx County; New York,Bronx,772,315,296,0.9396825397,220,128,0.5818181818,282,0.3652849741,161,0.2085492228,0,0,112,0.1450777202,470,0.6088082902,159,0.2059585492,90,0.2857142857,36005021200,5218,1106,0.2119586048,5322,746,0.1401728673,5322,298,0.05599398722,21277,0.021277,36283.31062
360050213011,360050213011,Block Group 1; Census Tract 213.01; Bronx County; New York,Bronx,274,102,102,1,93,41,0.4408602151,97,0.3540145985,15,0.05474452555,0,0,0,0,0,0,274,1,16,0.1568627451,36005021301,1289,413,0.3204034135,1289,172,0.1334367727,1289,61,0.04732350659,20868,0.020868,13130.15143
360050213021,360050213021,Block Group 1; Census Tract 213.02; Bronx County; New York,Bronx,2599,1165,1165,1,1016,565,0.5561023622,207,0.0796460177,709,0.2727972297,0,0,1196,0.4601769912,0,0,1403,0.5398230088,205,0.1759656652,36005021302,5898,2441,0.4138691082,5898,1394,0.2363513055,5898,123,0.02085452696,53570,0.05357,48515.96043
360050215011,360050215011,Block Group 1; Census Tract 215.01; Bronx County; New York,Bronx,1512,531,531,1,596,412,0.6912751678,587,0.3882275132,127,0.08399470899,22,0.01455026455,339,0.2242063492,0,0,1127,0.7453703704,105,0.197740113,36005021501,4247,1684,0.3965151872,4346,568,0.1306948919,4346,297,0.06833870225,38734,0.038734,39035.47271
