GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360850105001,360850105001,Block Group 1; Census Tract 105; Richmond County; New York,Staten Island,664,209,67,0.3205741626794258,363,102,0.2809917355371901,155,0.233433734939759,94,0.1415662650602409,82,0.1234939759036144,174,0.2620481927710843,0,0.0,171,0.2575301204819277,26,0.124401913875598,36085010500,5635,983,0.1744454303460514,5635,555,0.0984915705412599,5635,406,0.0720496894409937,143753,0.143753,4619.034037550521,0.9623496820366968
360850128051,360850128051,Block Group 1; Census Tract 128.05; Richmond County; New York,Staten Island,2173,683,153,0.2240117130307467,1173,288,0.2455242966751918,339,0.1560055223193741,288,0.1325356649792913,1783,0.8205246203405431,12,0.0055223193741371,197,0.0906580763920846,53,0.024390243902439,24,0.0351390922401171,36085012805,2384,96,0.0402684563758389,2384,347,0.1455536912751678,2384,101,0.0423657718120805,362287,0.362287,5998.007104864375,0.8741723383683603
360850128061,360850128061,Block Group 1; Census Tract 128.06; Richmond County; New York,Staten Island,1811,453,195,0.4304635761589404,721,387,0.536754507628294,495,0.2733296521258972,178,0.0982882385422418,1405,0.7758144671452236,0,0.0,89,0.0491441192711209,84,0.0463832136940916,10,0.0220750551876379,36085012806,6036,763,0.1264082173624917,6075,911,0.1499588477366255,6075,148,0.0243621399176954,223264,0.223264,8111.473412641537,0.5933751142289861
360850132011,360850132011,Block Group 1; Census Tract 132.01; Richmond County; New York,Staten Island,967,331,38,0.1148036253776435,478,115,0.2405857740585774,217,0.2244053774560496,209,0.2161323681489141,799,0.8262668045501551,1,0.0010341261633919,61,0.0630816959669079,67,0.0692864529472595,14,0.0422960725075528,36085013201,1657,351,0.2118286059143029,1652,93,0.0562953995157384,1652,20,0.0121065375302663,225753,0.225753,4283.442523465912,0.5699947101982308
360850132031,360850132031,Block Group 1; Census Tract 132.03; Richmond County; New York,Staten Island,1558,526,284,0.5399239543726235,811,360,0.4438964241676942,299,0.1919127086007702,291,0.186777920410783,1097,0.7041078305519898,0,0.0,136,0.0872913992297817,301,0.193196405648267,30,0.0570342205323193,36085013203,7305,268,0.0366872005475701,7305,1108,0.1516769336071184,7305,355,0.0485968514715948,186659,0.186659,8346.771385253323,0.8406815023051051
360850132041,360850132041,Block Group 1; Census Tract 132.04; Richmond County; New York,Staten Island,1354,552,278,0.5036231884057971,666,244,0.3663663663663664,275,0.2031019202363367,316,0.2333825701624815,785,0.5797636632200887,0,0.0,218,0.1610044313146233,309,0.2282127031019202,30,0.0543478260869565,36085013204,4921,560,0.1137980085348506,4948,583,0.1178253839935327,4948,195,0.0394098625707356,387025,0.387025,3498.482010206059,0.5234099989934408
360850133011,360850133011,Block Group 1; Census Tract 133.01; Richmond County; New York,Staten Island,1176,499,484,0.969939879759519,331,103,0.311178247734139,296,0.2517006802721088,228,0.1938775510204081,44,0.0374149659863945,497,0.4226190476190476,0,0.0,585,0.4974489795918367,68,0.1362725450901803,36085013301,1176,444,0.3775510204081632,1176,260,0.2210884353741496,1176,80,0.0680272108843537,67337,0.067337,17464.39550321517,0.9418456934559748
360850133021,360850133021,Block Group 1; Census Tract 133.02; Richmond County; New York,Staten Island,451,104,32,0.3076923076923077,187,58,0.3101604278074866,112,0.2483370288248337,24,0.0532150776053215,0,0.0,12,0.0266075388026607,70,0.155210643015521,369,0.8181818181818182,0,0.0,36085013302,3216,1016,0.3159203980099502,3216,229,0.0712064676616915,3216,464,0.1442786069651741,162904,0.162904,2768.501694249374,0.9218330210854896
360850134001,360850134001,Block Group 1; Census Tract 134; Richmond County; New York,Staten Island,1138,393,149,0.3791348600508906,519,86,0.1657032755298651,285,0.2504393673110721,177,0.1555360281195079,504,0.4428822495606327,54,0.047451669595782,369,0.3242530755711775,184,0.1616871704745167,0,0.0,36085013400,3854,644,0.1670991177996886,3868,455,0.1176318510858324,3868,142,0.0367114788004136,268185,0.268185,4243.33948580271,0.582505038334223
360850138001,360850138001,Block Group 1; Census Tract 138; Richmond County; New York,Staten Island,734,341,15,0.0439882697947214,343,53,0.1545189504373177,49,0.0667574931880109,403,0.5490463215258855,608,0.8283378746594006,0,0.0,126,0.1716621253405994,0,0.0,0,0.0,36085013800,6090,142,0.0233169129720853,6090,567,0.093103448275862,6090,351,0.0576354679802955,312525,0.312525,2348.612111031118,0.2348954544767318
360850141001,360850141001,Block Group 1; Census Tract 141; Richmond County; New York,Staten Island,1626,657,369,0.5616438356164384,810,140,0.1728395061728395,288,0.1771217712177121,327,0.2011070110701107,441,0.2712177121771217,357,0.2195571955719557,109,0.0670356703567035,672,0.4132841328413284,29,0.0441400304414003,36085014100,2554,355,0.138997650743931,2554,204,0.0798747063429913,2554,65,0.0254502740798747,163067,0.163067,9971.361464919328,0.9049308207636918
360850146041,360850146041,Block Group 1; Census Tract 146.04; Richmond County; New York,Staten Island,1527,598,298,0.4983277591973244,757,247,0.3262879788639365,414,0.2711198428290766,240,0.1571709233791748,1090,0.7138179436804192,26,0.0170268500327439,19,0.0124426981008513,392,0.2567125081859855,11,0.0183946488294314,36085014604,7039,308,0.0437562153715016,7039,446,0.0633612729080835,7039,284,0.0403466401477482,240583,0.240583,6347.081880265854,0.8483816882877632
360850146051,360850146051,Block Group 1; Census Tract 146.05; Richmond County; New York,Staten Island,1647,625,96,0.1536,751,152,0.2023968042609853,153,0.0928961748633879,442,0.2683667273831208,1435,0.8712811171827566,2,0.0012143290831815,151,0.0916818457802064,59,0.0358227079538555,23,0.0368,36085014605,3713,100,0.0269323996768112,3724,404,0.108485499462943,3724,199,0.0534371643394199,461283,0.461283,3570.47625860914,0.8099594330317081
360850146061,360850146061,Block Group 1; Census Tract 146.06; Richmond County; New York,Staten Island,1179,409,124,0.3031784841075794,427,83,0.1943793911007025,89,0.0754877014418999,325,0.275657336726039,897,0.7608142493638677,3,0.0025445292620865,141,0.1195928753180661,131,0.1111111111111111,0,0.0,36085014606,6450,432,0.0669767441860465,6450,715,0.1108527131782945,6450,144,0.0223255813953488,216825,0.216825,5437.564856451056,0.8100474296036329
