GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360471004001,360471004001,Block Group 1; Census Tract 1004; Kings County; New York,Brooklyn,2423,821,443,0.5395858708891595,1008,424,0.4206349206349206,504,0.2080066033842344,416,0.1716879900949236,91,0.0375567478332645,2085,0.8605035080478746,29,0.0119686339248865,96,0.0396203054065208,90,0.1096224116930572,36047100400,2423,283,0.1167973586463062,2423,336,0.1386710689228229,2423,198,0.0817168799009492,132054,0.132054,18348.554379269088,0.6440040768315525
360471116001,360471116001,Block Group 1; Census Tract 1116; Kings County; New York,Brooklyn,2789,749,581,0.7757009345794392,855,451,0.5274853801169591,795,0.285048404446038,565,0.2025815704553603,39,0.0139835066332018,1450,0.5198996055934026,0,0.0,1054,0.3779132305485837,92,0.1228304405874499,36047111600,3519,783,0.2225063938618925,3535,272,0.0769448373408769,3535,362,0.1024045261669024,147211,0.147211,18945.59509819239,0.9031395373314898
360471118001,360471118001,Block Group 1; Census Tract 1118; Kings County; New York,Brooklyn,2397,797,678,0.8506900878293601,696,219,0.3146551724137931,509,0.212348769294952,372,0.1551939924906132,10,0.0041718815185648,727,0.3032957863996662,331,0.1380892782644973,1117,0.4659991656236963,33,0.041405269761606,36047111800,3872,686,0.1771694214876033,3872,223,0.0575929752066115,3872,214,0.0552685950413223,82723,0.082723,28976.22184882076,0.8453047450049218
360471120001,360471120001,Block Group 1; Census Tract 1120; Kings County; New York,Brooklyn,1331,514,396,0.7704280155642024,511,120,0.2348336594911937,332,0.2494365138993238,124,0.0931630353117956,0,0.0,1025,0.7700976709241172,0,0.0,306,0.2299023290758828,50,0.0972762645914396,36047112000,3249,386,0.1188057863958141,3249,171,0.0526315789473684,3249,212,0.0652508464142813,53448,0.053448,24902.70917527316,0.8675012500976612
360471122001,360471122001,Block Group 1; Census Tract 1122; Kings County; New York,Brooklyn,2190,843,559,0.6631079478054567,911,453,0.4972557628979144,589,0.2689497716894977,314,0.1433789954337899,0,0.0,1714,0.782648401826484,8,0.0036529680365296,452,0.2063926940639269,157,0.1862396204033214,36047112200,3500,818,0.2337142857142857,3500,502,0.1434285714285714,3500,104,0.0297142857142857,120492,0.120492,18175.480529827702,0.8637642849007232
360471124001,360471124001,Block Group 1; Census Tract 1124; Kings County; New York,Brooklyn,1417,474,451,0.9514767932489452,729,306,0.419753086419753,405,0.2858151023288638,145,0.1023288637967537,12,0.0084685956245589,1076,0.7593507410021172,14,0.009880028228652,315,0.2223006351446718,40,0.0843881856540084,36047112400,3319,412,0.124133775233504,3380,349,0.1032544378698224,3380,215,0.0636094674556213,51878,0.051878,27314.083040980764,0.861552725471079
360471126001,360471126001,Block Group 1; Census Tract 1126; Kings County; New York,Brooklyn,1491,707,622,0.8797736916548797,679,351,0.5169366715758469,154,0.1032863849765258,309,0.2072434607645875,0,0.0,1153,0.7733065057008719,0,0.0,300,0.2012072434607646,36,0.0509193776520509,36047112600,4328,1319,0.3047597042513863,4406,622,0.1411711302768951,4406,307,0.0696777122106218,54917,0.054917,27150.06282207695,0.8533579454332739
360471128001,360471128001,Block Group 1; Census Tract 1128; Kings County; New York,Brooklyn,1078,538,423,0.7862453531598513,547,293,0.5356489945155393,162,0.150278293135436,139,0.1289424860853432,0,0.0,898,0.8330241187384044,0,0.0,110,0.1020408163265306,54,0.1003717472118959,36047112800,3933,1119,0.2845156369183829,3933,465,0.118230358504958,3933,156,0.0396643783371472,52241,0.052241,20635.133324400373,0.8985353390129998
360470112001,360470112001,Block Group 1; Census Tract 112; Kings County; New York,Brooklyn,3235,911,878,0.9637760702524698,950,195,0.2052631578947368,1111,0.3434312210200927,614,0.1897990726429675,835,0.2581143740340031,37,0.0114374034003091,495,0.1530139103554868,1534,0.4741885625965997,485,0.5323819978046103,36047011200,6584,1540,0.2339003645200486,6611,637,0.0963545605808501,6611,850,0.1285735894720919,68744,0.068744,47058.65239148144,0.933590598764278
360471130001,360471130001,Block Group 1; Census Tract 1130; Kings County; New York,Brooklyn,687,241,195,0.8091286307053942,234,234,1.0,170,0.24745269286754,139,0.2023289665211062,0,0.0,571,0.8311499272197962,0,0.0,103,0.1499272197962154,0,0.0,36047113000,4448,781,0.1755845323741007,4490,502,0.1118040089086859,4490,221,0.0492204899777282,41569,0.041569,16526.738675455268,0.8543877947907221
360471132001,360471132001,Block Group 1; Census Tract 1132; Kings County; New York,Brooklyn,1521,582,450,0.7731958762886598,727,336,0.4621733149931224,468,0.3076923076923077,131,0.0861275476660092,0,0.0,1015,0.6673241288625904,0,0.0,362,0.2380013149243918,0,0.0,36047113200,2637,565,0.2142586272279105,2637,383,0.1452408039438756,2637,0,0.0,86938,0.086938,17495.22648324093,0.861285911310509
360471134001,360471134001,Block Group 1; Census Tract 1134; Kings County; New York,Brooklyn,827,217,194,0.8940092165898618,212,189,0.8915094339622641,266,0.3216444981862152,66,0.0798065296251511,0,0.0,342,0.4135429262394196,0,0.0,485,0.5864570737605804,12,0.0552995391705069,36047113400,2615,703,0.2688336520076482,2615,506,0.1934990439770554,2615,187,0.07151051625239,85908,0.085908,9626.577268706058,0.5737386881086286
360471142011,360471142011,Block Group 1; Census Tract 1142.01; Kings County; New York,Brooklyn,1175,500,155,0.31,493,158,0.3204868154158215,241,0.2051063829787234,473,0.4025531914893617,130,0.1106382978723404,226,0.1923404255319148,0,0.0,798,0.6791489361702128,36,0.072,36047114201,1548,213,0.1375968992248062,1548,300,0.1937984496124031,1548,51,0.0329457364341085,100895,0.100895,11645.770355319888,0.8264794154179282
360471142021,360471142021,Block Group 1; Census Tract 1142.02; Kings County; New York,Brooklyn,1521,608,586,0.9638157894736842,535,312,0.5831775700934579,549,0.3609467455621302,164,0.1078238001314924,107,0.0703484549638395,312,0.2051282051282051,0,0.0,1047,0.6883629191321499,92,0.1513157894736842,36047114202,2331,837,0.3590733590733591,2331,364,0.1561561561561561,2331,12,0.0051480051480051,75993,0.075993,20015.00138170621,0.2997028352365223
360471144001,360471144001,Block Group 1; Census Tract 1144; Kings County; New York,Brooklyn,379,112,88,0.7857142857142857,150,150,1.0,0,0.0,46,0.1213720316622691,24,0.0633245382585752,301,0.7941952506596306,10,0.0263852242744063,20,0.0527704485488126,0,0.0,36047114400,2423,877,0.3619479983491539,2423,324,0.1337185307470078,2423,114,0.0470491126702435,222625,0.222625,1702.4143739472208,0.6307020153103079
360471146001,360471146001,Block Group 1; Census Tract 1146; Kings County; New York,Brooklyn,1376,392,272,0.6938775510204082,721,417,0.5783633841886269,209,0.1518895348837209,259,0.1882267441860465,37,0.0268895348837209,282,0.2049418604651162,74,0.0537790697674418,900,0.6540697674418605,109,0.2780612244897959,36047114600,3130,273,0.087220447284345,3130,405,0.1293929712460063,3130,78,0.0249201277955271,77379,0.077379,17782.60251489422,0.3210431708735656
360470114001,360470114001,Block Group 1; Census Tract 114; Kings County; New York,Brooklyn,1664,259,182,0.7027027027027027,332,55,0.1656626506024096,588,0.3533653846153846,461,0.2770432692307692,875,0.5258413461538461,72,0.0432692307692307,490,0.2944711538461538,122,0.0733173076923077,103,0.3976833976833976,36047011400,3258,582,0.1786372007366482,3291,215,0.0653296870252203,3291,259,0.0786994834396839,59832,0.059832,27811.20470651157,0.9647840904450852
360471150001,360471150001,Block Group 1; Census Tract 1150; Kings County; New York,Brooklyn,1428,415,326,0.7855421686746988,675,293,0.434074074074074,379,0.265406162464986,63,0.0441176470588235,84,0.0588235294117647,764,0.5350140056022409,0,0.0,580,0.4061624649859944,59,0.1421686746987951,36047115000,2920,536,0.1835616438356164,2962,317,0.1070222822417285,2962,142,0.0479405806887238,51979,0.051979,27472.63317878374,0.7807283896908968
360471156001,360471156001,Block Group 1; Census Tract 1156; Kings County; New York,Brooklyn,1043,277,98,0.3537906137184115,537,268,0.4990689013035381,195,0.186960690316395,136,0.1303930968360498,3,0.0028763183125599,740,0.7094918504314478,287,0.2751677852348993,13,0.012464046021093,29,0.1046931407942238,36047115600,4044,1493,0.369188921859545,4103,657,0.1601267365342432,4103,173,0.0421642700463075,41805,0.041805,24949.168759717737,0.824890025265258
360471158001,360471158001,Block Group 1; Census Tract 1158; Kings County; New York,Brooklyn,980,244,92,0.3770491803278688,405,225,0.5555555555555556,255,0.2602040816326531,109,0.1112244897959183,0,0.0,794,0.810204081632653,39,0.0397959183673469,147,0.15,15,0.0614754098360655,36047115800,2529,587,0.2321075523922499,2529,535,0.2115460656385923,2529,162,0.0640569395017793,44941,0.044941,21806.36834961394,0.8347158618270611
360471160001,360471160001,Block Group 1; Census Tract 1160; Kings County; New York,Brooklyn,685,313,277,0.8849840255591054,329,163,0.4954407294832826,156,0.2277372262773722,67,0.0978102189781021,23,0.0335766423357664,110,0.1605839416058394,0,0.0,519,0.7576642335766424,56,0.1789137380191693,36047116000,2412,590,0.2446102819237147,2420,455,0.1880165289256198,2420,51,0.0210743801652892,57397,0.057397,11934.421659668624,0.8341742746903626
360471162001,360471162001,Block Group 1; Census Tract 1162; Kings County; New York,Brooklyn,256,161,147,0.9130434782608696,103,66,0.6407766990291263,17,0.06640625,39,0.15234375,0,0.0,222,0.8671875,0,0.0,21,0.08203125,8,0.0496894409937888,36047116200,2561,752,0.2936352987114408,2571,232,0.0902372617658498,2571,90,0.0350058343057176,41576,0.041576,6157.398499134116,0.83881852748487
360471164001,360471164001,Block Group 1; Census Tract 1164; Kings County; New York,Brooklyn,1125,252,246,0.9761904761904762,388,317,0.8170103092783505,430,0.3822222222222222,63,0.056,23,0.0204444444444444,340,0.3022222222222222,258,0.2293333333333333,391,0.3475555555555555,0,0.0,36047116400,3899,250,0.0641190048730443,3936,392,0.0995934959349593,3936,166,0.0421747967479674,52741,0.052741,21330.653571225423,0.8105432270307119
360471166001,360471166001,Block Group 1; Census Tract 1166; Kings County; New York,Brooklyn,1260,416,336,0.8076923076923077,551,287,0.5208711433756806,389,0.3087301587301587,46,0.0365079365079365,30,0.0238095238095238,478,0.3793650793650793,0,0.0,635,0.503968253968254,0,0.0,36047116600,2998,595,0.1984656437625083,2998,411,0.1370913942628419,2998,197,0.0657104736490994,52472,0.052472,24012.8068303095,0.7493665616485308
360471168001,360471168001,Block Group 1; Census Tract 1168; Kings County; New York,Brooklyn,1564,403,347,0.8610421836228288,745,284,0.3812080536912752,420,0.268542199488491,105,0.0671355498721227,31,0.0198209718670076,509,0.3254475703324808,42,0.0268542199488491,694,0.4437340153452685,64,0.1588089330024814,36047116800,2585,319,0.1234042553191489,2661,78,0.0293122886133032,2661,44,0.0165351371664787,80007,0.080007,19548.28952466659,0.7595985937261259
360470116001,360470116001,Block Group 1; Census Tract 116; Kings County; New York,Brooklyn,1047,437,395,0.9038901601830664,503,104,0.2067594433399602,230,0.2196752626552053,144,0.1375358166189111,115,0.1098376313276026,12,0.0114613180515759,762,0.7277936962750716,158,0.1509073543457497,361,0.8260869565217391,36047011600,3212,892,0.2777085927770859,3233,161,0.0497989483451902,3233,138,0.0426848128673059,68499,0.068499,15284.89466999518,0.9296617637320482
