GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360610010011,360610010011,Block Group 1; Census Tract 10.01; New York County; New York,Manhattan,1745,812,472,0.5812807881773399,983,349,0.3550356052899288,329,0.188538681948424,334,0.191404011461318,997,0.5713467048710602,52,0.0297994269340974,204,0.1169054441260745,323,0.1851002865329513,32,0.0394088669950738,36061001001,1745,69,0.0395415472779369,1745,109,0.0624641833810888,1745,0,0.0,80143,0.080143,21773.579726239343,0.7315615313739071
360610125001,360610125001,Block Group 1; Census Tract 125; New York County; New York,Manhattan,385,122,122,1.0,196,44,0.2244897959183673,53,0.1376623376623376,23,0.0597402597402597,238,0.6181818181818182,79,0.2051948051948052,16,0.0415584415584415,52,0.135064935064935,0,0.0,36061012500,2680,324,0.1208955223880597,2680,245,0.0914179104477612,2680,161,0.0600746268656716,87176,0.087176,4416.353124713223,0.8077103167603293
360610126011,360610126011,Block Group 1; Census Tract 126.01; New York County; New York,Manhattan,546,360,302,0.8388888888888889,353,166,0.4702549575070821,52,0.0952380952380952,159,0.2912087912087912,353,0.6465201465201466,0,0.0,193,0.3534798534798535,0,0.0,0,0.0,36061012601,7014,308,0.0439121756487025,7014,534,0.0761334473909324,7014,70,0.0099800399201596,19837,0.019837,27524.323234360032,0.6159391013979721
360610126021,360610126021,Block Group 1; Census Tract 126.02; New York County; New York,Manhattan,1690,924,821,0.8885281385281385,962,260,0.2702702702702703,231,0.1366863905325444,513,0.3035502958579881,1621,0.959171597633136,0,0.0,8,0.0047337278106508,47,0.0278106508875739,0,0.0,36061012602,4980,118,0.0236947791164658,4980,280,0.0562248995983935,4980,0,0.0,36168,0.036168,46726.38796726388,0.8012835586595332
360610127001,360610127001,Block Group 1; Census Tract 127; New York County; New York,Manhattan,724,490,490,1.0,617,219,0.3549432739059968,0,0.0,54,0.074585635359116,538,0.7430939226519337,0,0.0,99,0.1367403314917127,0,0.0,0,0.0,36061012700,6307,709,0.1124147772316473,6307,840,0.1331853496115427,6307,356,0.0564452195972728,21763,0.021763,33267.47231539769,0.6624180486819441
360610128001,360610128001,Block Group 1; Census Tract 128; New York County; New York,Manhattan,1500,695,534,0.7683453237410072,838,179,0.2136038186157517,237,0.158,452,0.3013333333333333,1217,0.8113333333333334,2,0.0013333333333333,68,0.0453333333333333,207,0.138,15,0.0215827338129496,36061012800,5163,161,0.031183420491962,5163,413,0.0799922525663374,5163,56,0.0108464071276389,37374,0.037374,40134.85310643764,0.8697430854521249
360610129011,360610129011,Block Group 1; Census Tract 129.01; New York County; New York,Manhattan,3060,1318,1015,0.7701062215477997,2063,1091,0.5288414929714008,550,0.1797385620915032,96,0.0313725490196078,1419,0.4637254901960784,156,0.0509803921568627,773,0.2526143790849673,418,0.1366013071895424,27,0.0204855842185129,36061012901,6762,526,0.0777876367938479,6806,288,0.0423156038789303,6806,67,0.0098442550690567,23511,0.023511,130151.84381778742,0.7716281813547027
360610129021,360610129021,Block Group 1; Census Tract 129.02; New York County; New York,Manhattan,1438,582,582,1.0,739,311,0.4208389715832206,311,0.2162726008344923,103,0.0716272600834492,333,0.2315716272600834,229,0.1592489568845619,301,0.2093184979137691,429,0.2983310152990264,16,0.0274914089347079,36061012902,2383,451,0.1892572387746538,2594,126,0.0485736314572089,2594,161,0.0620663068619892,43691,0.043691,32912.95690187911,0.8108136617561054
360610012001,360610012001,Block Group 1; Census Tract 12; New York County; New York,Manhattan,1194,583,583,1.0,467,322,0.6895074946466809,128,0.1072026800670016,496,0.4154103852596315,218,0.1825795644891122,45,0.0376884422110552,345,0.2889447236180904,583,0.4882747068676717,277,0.4751286449399657,36061001200,4124,498,0.120756547041707,4124,560,0.1357904946653734,4124,79,0.0191561590688651,47666,0.047666,25049.301388830612,0.7571369381020654
360610130001,360610130001,Block Group 1; Census Tract 130; New York County; New York,Manhattan,455,177,131,0.7401129943502824,253,0,0.0,136,0.2989010989010989,62,0.1362637362637362,314,0.6901098901098901,9,0.0197802197802197,41,0.0901098901098901,91,0.2,0,0.0,36061013000,3311,381,0.1150709755360918,3336,416,0.1247002398081534,3336,45,0.0134892086330935,37592,0.037592,12103.639072143009,0.8426444859682578
360610131001,360610131001,Block Group 1; Census Tract 131; New York County; New York,Manhattan,1658,1090,1090,1.0,1078,400,0.3710575139146567,15,0.0090470446320868,387,0.2334137515078407,742,0.4475271411338962,176,0.106151990349819,303,0.1827503015681544,259,0.1562123039806996,169,0.155045871559633,36061013100,3470,313,0.0902017291066282,3485,458,0.1314203730272596,3485,92,0.0263988522238163,65471,0.065471,25324.18933573643,0.7456002267827574
360610132011,360610132011,Block Group 1; Census Tract 132.01; New York County; New York,Manhattan,732,422,422,1.0,514,344,0.669260700389105,41,0.0560109289617486,76,0.1038251366120218,521,0.7117486338797814,48,0.0655737704918032,74,0.1010928961748633,79,0.1079234972677595,12,0.0284360189573459,36061013201,2351,57,0.0242450021267545,2351,348,0.1480221182475542,2351,62,0.0263717566992769,17522,0.017522,41776.052961990645,0.8806533976597111
360610132021,360610132021,Block Group 1; Census Tract 132.02; New York County; New York,Manhattan,2027,1040,964,0.926923076923077,957,312,0.3260188087774294,381,0.1879625061667489,626,0.3088307844104588,1527,0.753330044400592,86,0.0424272323630981,102,0.0503206709422792,247,0.1218549580661075,40,0.0384615384615384,36061013202,3616,447,0.1236172566371681,3616,407,0.1125553097345132,3616,24,0.0066371681415929,44494,0.044494,45556.704274733675,0.942255221894388
360610132031,360610132031,Block Group 1; Census Tract 132.03; New York County; New York,Manhattan,477,461,461,1.0,331,207,0.6253776435045317,0,0.0,102,0.2138364779874214,429,0.89937106918239,29,0.060796645702306,0,0.0,19,0.0398322851153039,19,0.0412147505422993,36061013203,4276,1437,0.3360617399438728,4276,133,0.0311038353601496,4276,144,0.0336763330215154,17532,0.017532,27207.392197125257,0.9421736268413432
360610133001,360610133001,Block Group 1; Census Tract 133; New York County; New York,Manhattan,661,538,538,1.0,608,370,0.6085526315789473,21,0.0317700453857791,0,0.0,265,0.4009077155824508,0,0.0,321,0.4856278366111952,36,0.0544629349470499,0,0.0,36061013300,6146,712,0.1158477058249267,6146,293,0.0476732834363813,6146,285,0.0463716238203709,11858,0.011858,55742.958340360936,0.7422952505928463
360610134001,360610134001,Block Group 1; Census Tract 134; New York County; New York,Manhattan,486,201,201,1.0,481,309,0.6424116424116424,0,0.0,54,0.1111111111111111,225,0.4629629629629629,4,0.0082304526748971,0,0.0,3,0.0061728395061728,0,0.0,36061013400,10399,1010,0.0971247235311087,10475,840,0.0801909307875895,10475,90,0.0085918854415274,17419,0.017419,27900.568344910727,0.8073755859985681
360610135011,360610135011,Block Group 1; Census Tract 135.01; New York County; New York,Manhattan,2027,1116,1116,1.0,1018,665,0.6532416502946955,17,0.0083867784903798,605,0.2984706462752837,939,0.4632461766156882,25,0.0123334977799704,227,0.1119881598421312,721,0.3556980759743463,128,0.1146953405017921,36061013501,4872,396,0.0812807881773399,4854,397,0.0817882159044087,4854,271,0.0558302430984754,70446,0.070446,28773.812565653127,0.8132466809286308
