TRACT_GEOID,borough,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate
36005014300,Bronx,1617,800,0.49474335188620905,1647,487,0.2956891317547055,1647,54,0.03278688524590164
36005014400,Bronx,6091,1724,0.28304055163355774,6128,1451,0.23678198433420367,6128,648,0.10574412532637076
36005014500,Bronx,6678,3537,0.5296495956873315,6679,1278,0.19134600988171882,6679,681,0.10196137146279383
36005014701,Bronx,6085,3678,0.6044371405094494,6094,1472,0.2415490646537578,6094,707,0.11601575319986872
36005014702,Bronx,4950,1795,0.36262626262626263,4950,667,0.13474747474747475,4950,159,0.03212121212121212
36005014900,Bronx,4631,2036,0.4396458648240121,4631,802,0.17318073850140359,4631,386,0.08335132800690996
36005015100,Bronx,5051,1603,0.3173628984359533,5199,1580,0.3039045970378919,5199,576,0.11079053664166186
36005015200,Bronx,2474,286,0.11560226354082458,2562,299,0.11670569867291179,2562,47,0.01834504293520687
36005015300,Bronx,3596,896,0.24916573971078976,3603,872,0.24202053844018873,3603,169,0.04690535664723841
36005015500,Bronx,3016,839,0.27818302387267907,3016,857,0.28415119363395225,3016,254,0.08421750663129973
36005015700,Bronx,6152,1835,0.2982769830949285,6152,1219,0.19814694408322497,6152,437,0.07103381014304291
36005015800,Bronx,1490,285,0.1912751677852349,1490,313,0.21006711409395973,1490,3,0.0020134228187919465
36005015900,Bronx,2405,890,0.3700623700623701,2405,751,0.3122661122661123,2405,214,0.08898128898128899
36005016000,Bronx,3832,576,0.15031315240083507,3848,543,0.1411122661122661,3848,158,0.04106029106029106
36005016100,Bronx,4703,1763,0.3748671061024878,4703,1425,0.30299808632787584,4703,107,0.022751435254093132
36005016200,Bronx,1697,97,0.057159693576900414,1697,158,0.09310548025928109,1697,33,0.019446081319976428
36005016300,Bronx,0,0,,0,0,,0,0,
36005016400,Bronx,1132,243,0.2146643109540636,1132,156,0.13780918727915195,1132,30,0.026501766784452298
36005016500,Bronx,1311,285,0.21739130434782608,1311,158,0.12051868802440885,1311,124,0.09458428680396644
36005016600,Bronx,2376,319,0.13425925925925927,2395,367,0.15323590814196242,2395,80,0.033402922755741124
36005016700,Bronx,2961,1095,0.3698074974670719,3015,621,0.20597014925373133,3015,260,0.08623548922056384
36005016900,Bronx,1904,990,0.5199579831932774,1944,439,0.22582304526748972,1944,63,0.032407407407407406
36005017100,Bronx,0,0,,0,0,,0,0,
36005017300,Bronx,5265,1590,0.301994301994302,5265,1784,0.3388414055080722,5265,408,0.07749287749287749
36005017500,Bronx,6228,2433,0.39065510597302505,6228,1498,0.2405266538214515,6228,432,0.06936416184971098
36005017701,Bronx,5025,1261,0.25094527363184077,4984,774,0.15529695024077048,4984,606,0.12158908507223114
36005017702,Bronx,5232,1818,0.3474770642201835,5232,944,0.18042813455657492,5232,359,0.06861620795107033
36005017901,Bronx,4968,1002,0.20169082125603865,4968,731,0.1471417069243156,4968,473,0.09520933977455717
36005017902,Bronx,3030,483,0.1594059405940594,3030,610,0.20132013201320131,3030,303,0.1
36005018101,Bronx,2876,665,0.2312239221140473,2876,589,0.20479833101529904,2876,497,0.17280945757997218
36005018102,Bronx,5066,1583,0.3124753257007501,5107,1084,0.21225768552966517,5107,308,0.060309379283336594
36005018301,Bronx,3933,1116,0.2837528604118993,3933,964,0.24510551741673023,3933,207,0.05263157894736842
36005018302,Bronx,3295,787,0.23884673748103186,3295,490,0.14871016691957512,3295,202,0.061305007587253414
36005018400,Bronx,3886,505,0.12995367987647968,3886,362,0.09315491507977354,3886,148,0.03808543489449305
36005018501,Bronx,3761,1162,0.3089603828768944,3775,592,0.15682119205298015,3775,381,0.1009271523178808
36005018502,Bronx,5479,2784,0.5081219200584048,5520,1178,0.21340579710144927,5520,361,0.06539855072463768
36005018900,Bronx,8034,2079,0.2587752053771471,8163,1420,0.17395565355874065,8163,337,0.04128384172485606
36005019300,Bronx,5735,859,0.14978204010462076,5949,1150,0.1933097999663809,5949,84,0.014120020171457387
36005019400,Bronx,2117,166,0.07841284837033538,2117,322,0.15210203117619273,2117,38,0.017949929145016533
36005019500,Bronx,6997,2781,0.3974560525939688,7738,1416,0.18299302145257174,7738,194,0.02507107779788059
36005019700,Bronx,7542,4287,0.5684168655529037,7628,1332,0.17461982170949134,7628,591,0.07747771368641845
36005019900,Bronx,6781,2421,0.3570269871700339,6852,1175,0.1714827787507297,6852,388,0.056625802685347344
36005020000,Bronx,4398,1156,0.2628467485220555,4398,448,0.10186448385629832,4398,359,0.08162801273306049
36005020100,Bronx,3845,1713,0.4455136540962289,3845,585,0.15214564369310793,3845,175,0.045513654096228866
36005020200,Bronx,2593,668,0.2576166602391053,2602,324,0.1245196003074558,2602,223,0.08570330514988471
36005020400,Bronx,2823,747,0.26461211477151964,2807,362,0.12896330602066264,2807,208,0.07410046312789455
36005020501,Bronx,8397,3682,0.4384899368822198,8397,1989,0.23687031082529475,8397,527,0.06276050970584733
36005020502,Bronx,2316,554,0.2392055267702936,2321,640,0.2757432141318397,2321,206,0.08875484704868591
36005020601,Bronx,2840,553,0.19471830985915492,2849,400,0.1404001404001404,2849,108,0.03790803790803791
36005020900,Bronx,4796,1281,0.2670975813177648,4809,447,0.09295071740486588,4809,248,0.05156997296735288
36005021001,Bronx,7346,1393,0.1896270078954533,7347,1249,0.1700013610997686,7347,587,0.0798965564175854
36005021002,Bronx,7410,1739,0.23468286099865046,7434,837,0.11259079903147699,7434,400,0.053806833467850416
36005021100,Bronx,5812,1758,0.3024776324845148,5920,852,0.14391891891891892,5920,263,0.04442567567567567
36005021200,Bronx,5218,1106,0.21195860482943657,5322,746,0.1401728673431041,5322,298,0.055993987222848554
36005021301,Bronx,1289,413,0.32040341349883633,1289,172,0.13343677269200932,1289,61,0.047323506594259115
36005021302,Bronx,5898,2441,0.4138691081722618,5898,1394,0.23635130552729738,5898,123,0.020854526958290945
36005021501,Bronx,4247,1684,0.3965151871909583,4346,568,0.13069489185457892,4346,297,0.06833870225494708
36005021502,Bronx,6163,2880,0.4673048839850722,6235,1581,0.2535685645549318,6235,444,0.07121090617481957
36005021601,Bronx,4118,1241,0.3013598834385624,4118,370,0.08984944147644487,4118,419,0.10174842156386596
36005021602,Bronx,6027,1075,0.17836402853824457,6027,515,0.08544881367181019,6027,161,0.026713124274099883
36005021700,Bronx,5005,1915,0.3826173826173826,5006,1047,0.2091490211745905,5006,401,0.08010387534958051
36005021800,Bronx,6010,1521,0.25307820299500833,6050,974,0.1609917355371901,6050,634,0.10479338842975207
36005021900,Bronx,1477,207,0.14014895057549087,1488,212,0.1424731182795699,1488,95,0.06384408602150538
36005022000,Bronx,1777,1091,0.6139561057962859,1872,366,0.1955128205128205,1872,278,0.1485042735042735
36005022101,Bronx,3724,891,0.23925886143931258,3752,574,0.15298507462686567,3752,355,0.09461620469083155
36005022102,Bronx,5128,1810,0.3529641185647426,5144,986,0.1916796267496112,5144,447,0.08689735614307932
36005022200,Bronx,3271,877,0.2681137266890859,3315,440,0.13273001508295626,3315,251,0.07571644042232277
36005022300,Bronx,4867,1610,0.3307992603246353,4867,950,0.19519211012944318,4867,208,0.042736798849393874
36005022401,Bronx,2433,561,0.23057953144266338,2433,460,0.1890669954788327,2433,162,0.06658446362515413
36005022403,Bronx,2782,390,0.14018691588785046,2782,545,0.195902228612509,2782,147,0.052839683680805175
36005022404,Bronx,4261,692,0.1624031917390284,4292,708,0.16495806150978565,4292,159,0.037045666356011184
36005022500,Bronx,7960,2048,0.25728643216080405,8040,1852,0.23034825870646766,8040,1000,0.12437810945273632
36005022701,Bronx,4939,1419,0.2873051224944321,4939,835,0.1690625632719174,4939,484,0.09799554565701558
36005022702,Bronx,1071,509,0.4752567693744164,1071,286,0.26704014939309056,1071,57,0.05322128851540616
36005022703,Bronx,1661,623,0.3750752558699579,1685,447,0.2652818991097923,1685,98,0.058160237388724036
